Home,Visitors,Date,Time,Day,DH
Angels,Astros,4/7/2022,6:38 PM,Thursday,
Angels,Astros,4/8/2022,6:38 PM,Friday,
Angels,Astros,4/9/2022,6:07 PM,Saturday,
Angels,Astros,4/10/2022,1:07 PM,Sunday,
Angels,Marlins,4/11/2022,6:38 PM,Monday,
Angels,Marlins,4/12/2022,4:07 PM,Tuesday,
Angels,Orioles,4/22/2022,6:38 PM,Friday,
Angels,Orioles,4/23/2022,6:07 PM,Saturday,
Angels,Orioles,4/24/2022,1:07 PM,Sunday,
Angels,Guardians,4/25/2022,6:38 PM,Monday,
Angels,Guardians,4/26/2022,6:38 PM,Tuesday,
Angels,Guardians,4/27/2022,6:38 PM,Wednesday,
Angels,Guardians,4/28/2022,1:07 PM,Thursday,
Angels,Nationals,5/6/2022,6:38 PM,Friday,
Angels,Nationals,5/7/2022,6:07 PM,Saturday,
Angels,Nationals,5/8/2022,1:07 PM,Sunday,
Angels,Rays,5/9/2022,6:38 PM,Monday,
Angels,Rays,5/10/2022,6:38 PM,Tuesday,
Angels,Rays,5/11/2022,1:07 PM,Wednesday,
Angels,Athletics,5/20/2022,6:38 PM,Friday,
Angels,Athletics,5/21/2022,6:07 PM,Saturday,
Angels,Athletics,5/22/2022,1:07 PM,Sunday,
Angels,Rangers,5/24/2022,6:38 PM,Tuesday,
Angels,Rangers,5/25/2022,6:38 PM,Wednesday,
Angels,Blue Jays,5/26/2022,6:38 PM,Thursday,
Angels,Blue Jays,5/27/2022,6:38 PM,Friday,
Angels,Blue Jays,5/28/2022,7:07 PM,Saturday,
Angels,Blue Jays,5/29/2022,1:07 PM,Sunday,
Angels,Red Sox,6/6/2022,6:38 PM,Monday,
Angels,Red Sox,6/7/2022,6:38 PM,Tuesday,
Angels,Red Sox,6/8/2022,6:38 PM,Wednesday,
Angels,Red Sox,6/9/2022,6:38 PM,Thursday,
Angels,Mets,6/10/2022,6:38 PM,Friday,
Angels,Mets,6/11/2022,7:07 PM,Saturday,
Angels,Mets,6/12/2022,1:07 PM,Sunday,
Angels,Royals,6/20/2022,6:38 PM,Monday,
Angels,Royals,6/21/2022,6:38 PM,Tuesday,
Angels,Royals,6/22/2022,6:49 PM,Wednesday,
Angels,Mariners,6/24/2022,6:38 PM,Friday,
Angels,Mariners,6/25/2022,7:07 PM,Saturday,
Angels,Mariners,6/26/2022,1:07 PM,Sunday,
Angels,White Sox,6/27/2022,6:38 PM,Monday,
Angels,White Sox,6/28/2022,6:38 PM,Tuesday,
Angels,White Sox,6/29/2022,6:38 PM,Wednesday,
Angels,Astros,7/12/2022,6:38 PM,Tuesday,
Angels,Astros,7/13/2022,6:38 PM,Wednesday,
Angels,Astros,7/14/2022,5:07 PM,Thursday,
Angels,Dodgers,7/15/2022,6:38 PM,Friday,
Angels,Dodgers,7/16/2022,7:07 PM,Saturday,
Angels,Rangers,7/28/2022,6:38 PM,Thursday,
Angels,Rangers,7/29/2022,6:38 PM,Friday,
Angels,Rangers,7/30/2022,6:07 PM,Saturday,
Angels,Rangers,7/31/2022,1:07 PM,Sunday,
